"","season","day","date","home_team","away_team","home_score","away_score","stadium","home_1","home_2","home_3","home_4","home_5","home_6","home_7","home_8","home_9","home_10","home_11","home_12","home_13","home_14","home_15","home_16","home_17","home_18","home_19","home_20","home_21","home_22","home_23","away_1","away_2","away_3","away_4","away_5","away_6","away_7","away_8","away_9","away_10","away_11","away_12","away_13","away_14","away_15","away_16","away_17","away_18","away_19","away_20","away_21","away_22","away_23","delayed_game","score_diff","winning_team"
"1549","2013-2014","J11","2013-11-02","Oyonnax","USA Perpignan",22,9,"Stade Charles Mathon","LUKAS RAPANT","JODY JENNEKER","RUAAN DU PREEZ","THIBAULT LASSALLE","DAMIAN BROWNE","JOE EL ABD","VALENTIN URSACHE","VILIAMI MA'AFU","AGUSTIN FIGUEROLA","BENJAMIN URDAPILLETA","DUG CODJO","HEMANI PAEA","PIERRE AGUILLON","SILVÈRE TIAN","LUCAS AMOROSINO","NEIL CLARK","MARC CLERC","MIROSLAV NEMECEK","SCOTT NEWLANDS","FABIEN CIBRAY","NICOLAS VUILLEMIN","GUILLAUME BOUSSES","ANTOINE TICHIT","ALISONA TAUMALOLO","ROMAIN TERRAIN","GIORGI JGENTI","LUKE CHARTERIS","ROMAIN TAOFIFENUA","JUSTIN PURLL","ALASDAIR STROKOSCH","LUKE NARRAWAY","DEWALDT DUVENAGE","CAMILLE LOPEZ","JOFFREY MICHEL","SIONE PIUKALA","DAVID MARTY","WATISONI VOTU","JAMES HOOK","MAXIME DELONCA","SÉBASTIEN TAOFIFENUA","GUILLAUME VILACECA","JEAN-PIERRE PEREZ","NICOLAS DURAND","SOFIANE GUITOUNE","WANDILE MJEKEVU","PAULICA ION",0,13,"Oyonnax"
"1550","2013-2014","J11","2013-11-02","Montpellier Hérault Rugby","FC Grenoble Rugby",25,18,"Stade Yves Du Manoir (Montpellier)","MISHA NARIASHVILI","MICKAËL IVALDI","MAXIMILIANO BUSTOS","ROBINS TCHALÉ-WATCHOU","THIBAUT PRIVAT","ALEXANDRE BIAS","MAMUKA GORGODZE","ALEX TULOU","JONATHAN PÉLISSIÉ","FRANÇOIS TRINH-DUC","YOAN AUDRIN","THOMAS COMBEZOU","ANTHONY TUITAVAKE","TIMOCI NAGUSA","BENOÎT SICART","CHARLES GÉLI","NICOLAS MAS","MICKAËL DE MARCO","KÉLIAN GALLETIER","BENOÎT PAILLAUGUE","JP DU PLESSIS","ANTHONY FLOCH","YVAN WATREMEZ","ALBERTUS BUCKLE","VINCENT CAMPO","DAYNA EDWARDS","HENDRIK ROODT","BEN HAND","JONATHAN BEST","FABIEN ALEXANDRE","FLORIAN FAURE","JAMES HART","BLAIR STEWART","JULIEN CAMINATI","NIGEL HUNT","RIDA JAOUHER","BENJAMIN THIÉRY","FABIEN GENGENBACHER","ROMAIN DAVID","ANTHONY HEGARTY","ANDREW FARLEY","CÉDRIC BÉAL","MATTHIEU NICOLAS","GEOFFROY MESSINA","NICOLAS BÉZY","RICHARD CHOIRAT",0,7,"Montpellier Hérault Rugby"
"1551","2013-2014","J11","2013-11-02","Stade Français Paris","Aviron Bayonnais",13,9,"Stade Jean Bouin","HENDRIK VAN DER MERWE","LAURENT SEMPÉRÉ","DAVID ATTOUB","GERHARD MOSTERT","PASCAL PAPÉ","OLIVIER MISSOUP","SCOTT LAVALLA","SERGIO STADE FRANÇAIS PARISSE","JULIEN DUPUY","MORNÉ STEYN","DJIBRIL CAMARA","JONATHAN DANTY","GEOFFREY DOUMAYROU","JULIEN ARIAS","HUGO BONNEVAL","RÉMI BONFILS","SAKARIA TAULAFO","ALEXANDRE FLANQUART","DAVID LYONS","RICHARD KINGI","JULES PLISSON","JÉRÔME PORICAL","RABAH SLIMANI","JAKOBUS CHRISTO JANSE VAN RENSBURG","DAVID ROUMIEU","GERT MULLER","DEWALD SENEKAL","LISIATE FA'AOSO","MARK CHISHOLM","JEAN MONRIBOT","OPETI FONUA","MATHIEU BÉLIE","STEPHEN BRETT","BASTIEN FUSTER","SANTIAGO FERNANDEZ","JOE ROKOCOKO","MARTIN BUSTOS-MOYANO","SCOTT SPEDDING","GRÉGORY ARGANÈSE","NEEMIA TIALATA","DWAYNE HAARE","JULIEN PURICELLI","GUILLAUME ROUET","SAM GERBER","MANU AHOTAEILOA","ARETZ IGUINIZ",0,4,"Stade Français Paris"
"1552","2013-2014","J12","2013-11-22","RC Toulon","USA Perpignan",15,9,"Stade Mayol","ANDY SHERIDAN","CRAIG BURDEN","CARL HAYMAN","JOCELINO SUTA","ALI WILLIAMS","JUAN SMITH","STEFFON ARMITAGE","CHRIS MASOE","SÉBASTIEN TILLOUS-BORDE","JONNY WILKINSON","DAVID SMITH","MATT GITEAU","MAXIME MERMOZ","ALEXIS PALISSON","DELON ARMITAGE","JEAN-CHARLES ORIOLI","FLORIAN FRESIA","PIERRICK GUNTHER","VIRGILE BRUNI","RUDI WULF","DREW MITCHELL","MICHAEL CLAASSENS","XAVIER CHIOCCI","SÉBASTIEN TAOFIFENUA","ROMAIN TERRAIN","KISI PULU","GUILLAUME VILACECA","ROMAIN TAOFIFENUA","KARL CHATEAU","JEAN-PIERRE PEREZ","LUKE NARRAWAY","TOM ECOCHARD","NICOLAS DURAND","RICHARD HAUGHTON","WANDILE MJEKEVU","DAVID MARTY","WATISONI VOTU","JOFFREY MICHEL","MAXIME DELONCA","JEAN-BAPTISTE CUSTOJA","NICOLAS RABAT","TIM MENZEL","JENS TORFS","ROMAIN FERNANDEZ","GIORGI JGENTI","",0,6,"RC Toulon"
"1553","2013-2014","J12","2013-11-23","Stade Toulousain","Oyonnax",14,3,"Stade Ernest Wallon","SCHALK FERREIRA","CHILIBOY RALEPELLE","YOHAN MONTÈS","ROMAIN MILLO-CHLUSKI","PATRICIO ALBACETE","GRÉGORY LAMBOLEY","YACOUBA CAMARA","GILLIAN GALAN","SÉBASTIEN BÉZY","JEAN-PASCAL BARRAQUE","YVES DONGUY","HOSEA GEAR","YANN DAVID","TIMOCI MATANAVOU","CLÉMENT POITRENAUD","CHRISTOPHER TOLOFUA","CYRIL BAILLE","EDWIN MAKA","LOUIS PICAMOLES","ANTHONY MÉRIC","GAËL FICKOU","MAXIME MÉDARD","ANTOINE GUILLAMON","ANTOINE TICHIT","NEIL CLARK","MARC CLERC","MIROSLAV NEMECEK","DAMIAN BROWNE","JOE EL ABD","VALENTIN URSACHE","CHRISTOPHE ANDRÉ","AGUSTIN FIGUEROLA","BENJAMIN URDAPILLETA","TIKIKO KOROIVOUTU","PIERRE AGUILLON","GUILLAUME BOUSSES","DUG CODJO","SILVÈRE TIAN","JODY JENNEKER","RUAAN DU PREEZ","DAMIEN LAGRANGE","SCOTT NEWLANDS","NICOLAS VUILLEMIN","RÉGIS LESPINAS","ROIMATA HANSELL PUNE","ERWAN IAPTEFF",0,11,"Stade Toulousain"
"1554","2013-2014","J12","2013-11-23","Montpellier Hérault Rugby","Castres Olympique",16,20,"Stade Yves Du Manoir (Montpellier)","YVAN WATREMEZ","MICKAËL IVALDI","BARRY FAAMAUSILI","MICKAËL DE MARCO","THIBAUT PRIVAT","KÉLIAN GALLETIER","ALEXANDRE BIAS","ALEX TULOU","BENOÎT PAILLAUGUE","FRANÇOIS TRINH-DUC","YOAN AUDRIN","WYNAND OLIVIER","ANTHONY TUITAVAKE","RENE RANGER","PIERRE BÉRARD","THOMAS BIANCHIN","NA'AMA LELEIMALEFAGA","ROBINS TCHALÉ-WATCHOU","FRED QUERCY","JONATHAN PÉLISSIÉ","ROBERT EBERSOHN","ANTHONY FLOCH","PAEA FA'ANUNU","SAIMONE TAUMOEPEAU","BRICE MACH","KARENA WIHONGI","CHRISTOPHE SAMSON","RODRIGO CAPO ORTEGA","JANNIE BORNMAN","IBRAHIM DIARRA","PEDRIE WANNENBURG","JULIEN TOMAS","DANIEL KIRKPATRICK","MARCEL GARVEY","RÉMI LAMERAT","ROMAIN CABANNES","ROMAIN MARTIAL","GEOFFREY PALIS","MARC-ANTOINE RALLIER","ANTON PEIKRISHVILI","RICHIE GRAY","ANTONIE CLAASSEN","CÉDRIC GARCIA","PAUL BONNEFOND","RÉMY GROSSO","MICHAEL COETZEE",0,-4,"Castres Olympique"
"1555","2013-2014","J12","2013-11-23","Union Bordeaux-Bègles","Stade Français Paris",45,23,"Jacques Chaban-Delmas","JEAN-BAPTISTE POUX","CLÉMENT MAYNADIER","PATRICK TOETU","JANDRÉ MARAIS","ADAM JAULHAC","LOUIS-BENOÎT MADAULE","HUGH CHALMERS","MATTHEW CLARKIN","HEINI ADAMS","PIERRE BERNARD","BLAIR CONNOR","JULIEN REY","FÉLIX LE BOURHIS","RAFAËL CARBALLO","DARLY DOMVO","BENAT AUZQUI","JEFFERSON POIROT","ALIKISIO FAKATE","MATT GRAHAM","EMMANUEL SAUBUSSE","ROMAIN LONCA","CHARLES BROUSSE","SILVIU FLOREA","HENDRIK VAN DER MERWE","ALED DE MALMANCHE","DAVID ATTOUB","ANTON VAN ZYL","GERHARD MOSTERT","ANTOINE BURBAN","OLIVIER MISSOUP","DAVID LYONS","JULIEN DUPUY","JULES PLISSON","DJIBRIL CAMARA","MEYER BOSMAN","GEOFFREY DOUMAYROU","JULIEN ARIAS","HUGO BONNEVAL","LAURENT SEMPÉRÉ","ROMAIN FROU","ALEXANDRE FLANQUART","SYLVAIN NICOLAS","JÉRÔME FILLOL","JONATHAN DANTY","JÉRÔME PORICAL","BENJAMIN CHABERT",0,22,"Union Bordeaux-Bègles"
"1556","2013-2014","J12","2013-11-23","Aviron Bayonnais","FC Grenoble Rugby",24,21,"Stade Jean Dauger","ARETZ IGUINIZ","DAVID ROUMIEU","GERT MULLER","DEWALD SENEKAL","LISIATE FA'AOSO","MARK CHISHOLM","JULIEN PURICELLI","CHARLES OLLIVON","MATHIEU BÉLIE","STEPHEN BRETT","MARVIN O'CONNOR","MANU AHOTAEILOA","JOE ROKOCOKO","MARTIN BUSTOS-MOYANO","SCOTT SPEDDING","ANTHONY ÉTRILLARD","NEEMIA TIALATA","ABDELLATIF BOUTATY","JEAN-JOSEPH MARMOUYET","GUILLAUME ROUET","SANTIAGO FERNANDEZ","JEAN MONRIBOT","JAKOBUS CHRISTO JANSE VAN RENSBURG","KENAN MUTAPCIC","ANTHONY HEGARTY","RICHARD CHOIRAT","HENDRIK ROODT","ANDREW FARLEY","JONATHAN BEST","PETER KIMLIN","FLORIAN FAURE","VALENTIN COURRENT","BLAIR STEWART","JULIEN CAMINATI","GEOFFROY MESSINA","RIDA JAOUHER","BENJAMIN THIÉRY","FABIEN GENGENBACHER","ROMAIN DAVID","ALBERTUS BUCKLE","BEN HAND","FABIEN ALEXANDRE","HENRY VANDERGLAS","MATTHIEU NICOLAS","NICOLAS BÉZY","DAYNA EDWARDS",0,3,"Aviron Bayonnais"
"1557","2013-2014","J12","2013-11-23","CA Brive","Biarritz Olympique PB",9,14,"Stade Amédée Domenech","KARLEN ASIESHVILI","GUILLAUME RIBES","PATRICK BARNARD","JULIEN LEDEVEDEC","ARNAUD MELA","PETRUS HAUMAN","DOMINIKO WAQANIBUROTU","SISARO KOYAMAIBOLE","JEAN-BAPTISTE PÉJOINE","RIAAN SWANEPOEL","VENIONE VORETAMAYA","ANDREW MA'ILEI","ARNAUD MIGNARDI","GUILLAUME NAMY","GAËTAN GERMAIN","FRANÇOIS DA ROS","ARANOS COETZEE","SIMON PINET","SAÏD HIRÈCHE","DAMIEN NEVEU","ROMAIN SOLA","LAURENT FERRERES","KEVIN BUYS","THOMAS SYNAEGHEL","JEAN-PHILIPPE GENEVOIS","FRANCISCO GOMEZ KODELA","ERIK LUND","MATHIAS MARIE","BENOÎT GUYOT","TANGUY MOLCARD","IMANOL HARINORDOQUY","YANN LESGOURGUES","DANIEL WAENGA","ALED BREW","BENOIT BABY","SEREMAIA BUROTU","TAKUDZWA NGWENYA","DAMIEN TRAILLE","JONNAH DABTI","EUGÈNE VAN STADEN","ADDISON LOCKLEY","LUIX ROUSSARIE","JULIEN PEYRELONGUE","CHARLES GIMENEZ","PAUL COUET-LANNES","BEN BROSTER",0,-5,"Biarritz Olympique PB"
"1558","2013-2014","J12","2013-11-23","ASM Clermont","Racing 92",47,14,"Parc des Sports Marcel Michelin","RAPHAËL CHAUME","BENOIT CABELLO","DANIEL KOTZE","JAMIE CUDMORE","JULIEN PIERRE","JULIEN BONNAIRE","ALEXANDRE LAPANDRY","FRITZ LEE","THIERRY LACRAMPE","BROCK JAMES","SITIVENI SIVIVATU","BENSON STANLEY","REGAN KING","NOA NAKAITACI","JEAN-MARCELLIN BUTTIN","CLÉMENT ANDRIEUX","VINCENT DEBATY","LOÏC JACQUET","JULIEN BARDY","LUDOVIC RADOSAVLJEVIC","MIKE DELANY","JULIEN MALZIEU","CLÉMENT RIC","SOANE TONGA'UIHA","VIRGILE LACOMBE","LUC DUCALCON","JUANDRÉ KRUGER","FRANÇOIS VAN DER MERWE","CAMILLE GÉRONDEAU","ANTOINE BATTUT","JACQUES CRONJE","SÉBASTIEN DESCONS","JONATHAN WISNIEWSKI","MARC ANDREU","FABRICE ESTEBANEZ","HENRY CHAVANCY","ADRIEN PLANTÉ","BENJAMIN LAPEYRE","JÉRÉMIE MAUROUARD","DAVIT KHINCHAGISHVILI","KARIM GHEZAL","BERNARD LE ROUX","LAURENT MAGNAVAL","BENJAMIN DAMBIELLE","ALEXANDRE DUMOULIN","WALTER DESMAISON",0,33,"ASM Clermont"
"1559","2013-2014","J13","2013-11-29","USA Perpignan","ASM Clermont",23,30,"Stade Aimé Giral","SÉBASTIEN TAOFIFENUA","ROMAIN TERRAIN","GIORGI JGENTI","LUKE CHARTERIS","ROMAIN TAOFIFENUA","JUSTIN PURLL","ALASDAIR STROKOSCH","LUKE NARRAWAY","DEWALDT DUVENAGE","CAMILLE LOPEZ","WANDILE MJEKEVU","DAVID MARTY","TOMMASO BENVENUTI","SOFIANE GUITOUNE","JAMES HOOK","MAXIME DELONCA","KISI PULU","SÉBASTIEN VAHAAMAHINA","KARL CHATEAU","TOM ECOCHARD","WATISONI VOTU","JOFFREY MICHEL","PAULICA ION","THOMAS DOMINGO","BENOIT CABELLO","CLÉMENT RIC","LOÏC JACQUET","NATHAN HINES","GERHARD VOSLOO","JULIEN BARDY","FRITZ LEE","THIERRY LACRAMPE","MIKE DELANY","JULIEN MALZIEU","NOA NAKAITACI","AURÉLIEN ROUGERIE","NAPOLIONI NALAGA","LEE BYRNE","TI'I PAULO","RAPHAËL CHAUME","JAMIE CUDMORE","DAMIEN CHOULY","LUDOVIC RADOSAVLJEVIC","BROCK JAMES","JEAN-MARCELLIN BUTTIN","VINCENT DEBATY",0,-7,"ASM Clermont"
"1560","2013-2014","J13","2013-11-30","Stade Français Paris","RC Toulon",23,0,"Stade Jean Bouin","HENDRIK VAN DER MERWE","LAURENT SEMPÉRÉ","RABAH SLIMANI","ALEXANDRE FLANQUART","PASCAL PAPÉ","ANTOINE BURBAN","OLIVIER MISSOUP","SERGIO STADE FRANÇAIS PARISSE","JULIEN DUPUY","JULES PLISSON","DJIBRIL CAMARA","JONATHAN DANTY","GEOFFREY DOUMAYROU","JULIEN ARIAS","JÉRÔME PORICAL","RÉMI BONFILS","SAKARIA TAULAFO","GERHARD MOSTERT","SCOTT LAVALLA","JÉRÔME FILLOL","MORNÉ STEYN","MEYER BOSMAN","DAVIT KUBRIASHVILI","XAVIER CHIOCCI","JEAN-CHARLES ORIOLI","CARL HAYMAN","JOCELINO SUTA","ALI WILLIAMS","PIERRICK GUNTHER","VIRGILE BRUNI","JOE VAN NIEKERK","MICHAEL CLAASSENS","FRÉDÉRIC MICHALAK","BRYAN HABANA","RUDI WULF","MATHIEU BASTAREAUD","JOSUA TUISOVA","DREW MITCHELL","CRAIG BURDEN","FLORIAN FRESIA","BAKKIES BOTHA","JUAN SMITH","ALEXIS PALISSON","CHRIS MASOE","MATT GITEAU","MARTIN CASTROGIOVANNI",0,23,"Stade Français Paris"
"1561","2013-2014","J13","2013-11-30","Castres Olympique","Aviron Bayonnais",46,16,"Stade Pierre Antoine","SAIMONE TAUMOEPEAU","BRICE MACH","ANTON PEIKRISHVILI","RICHIE GRAY","RODRIGO CAPO ORTEGA","PEDRIE WANNENBURG","YANNICK CABALLERO","ANTONIE CLAASSEN","RORY KOCKOTT","DANIEL KIRKPATRICK","RÉMY GROSSO","RÉMI LAMERAT","ROMAIN CABANNES","ROMAIN MARTIAL","BRICE DULIN","MARC-ANTOINE RALLIER","MIHAÏTA LAZAR","CHRISTOPHE SAMSON","IBRAHIM DIARRA","CÉDRIC GARCIA","RÉMI TALÈS","GEOFFREY PALIS","KARENA WIHONGI","JAKOBUS CHRISTO JANSE VAN RENSBURG","DAVID ROUMIEU","NEEMIA TIALATA","LISIATE FA'AOSO","MARK CHISHOLM","JEAN MONRIBOT","JEAN-JOSEPH MARMOUYET","OPETI FONUA","MATHIEU BÉLIE","SANTIAGO FERNANDEZ","MARVIN O'CONNOR","MANU AHOTAEILOA","JOE ROKOCOKO","MARTIN BUSTOS-MOYANO","SCOTT SPEDDING","ANTHONY ÉTRILLARD","GERT MULLER","DEWALD SENEKAL","CHARLES OLLIVON","GUILLAUME ROUET","STEPHEN BRETT","JULIEN PURICELLI","ARETZ IGUINIZ",0,30,"Castres Olympique"
"1562","2013-2014","J13","2013-11-30","Biarritz Olympique PB","Union Bordeaux-Bègles",15,22,"Parc des Sports d'Aguilera","THOMAS SYNAEGHEL","JEAN-PHILIPPE GENEVOIS","FRANCISCO GOMEZ KODELA","ERIK LUND","MATHIAS MARIE","BENOÎT GUYOT","TANGUY MOLCARD","IMANOL HARINORDOQUY","YANN LESGOURGUES","DIMITRI YACHVILI","ALED BREW","BENOIT BABY","SEREMAIA BUROTU","TAKUDZWA NGWENYA","DAMIEN TRAILLE","JONNAH DABTI","ALEXANDRE MENINI","ADDISON LOCKLEY","UELENI FONO","JOSHUA FURNO","LUIX ROUSSARIE","DANIEL WAENGA","BEN BROSTER","JEAN-BAPTISTE POUX","CLÉMENT MAYNADIER","PATRICK TOETU","JANDRÉ MARAIS","ADAM JAULHAC","LOUIS-BENOÎT MADAULE","HUGH CHALMERS","MATTHEW CLARKIN","HEINI ADAMS","PIERRE BERNARD","BLAIR CONNOR","JULIEN REY","FÉLIX LE BOURHIS","METUISELA TALEBULA","DARLY DOMVO","OLE AVEI","LAURENT DELBOULBÈS","ALIKISIO FAKATE","MATT GRAHAM","TAIASINA TUIFUA","EMMANUEL SAUBUSSE","ROMAIN LONCA","SILVIU FLOREA",0,-7,"Union Bordeaux-Bègles"
"1563","2013-2014","J13","2013-11-30","Oyonnax","CA Brive",26,9,"Stade Charles Mathon","LUKAS RAPANT","JODY JENNEKER","MARC CLERC","DAMIEN LAGRANGE","DAMIAN BROWNE","JOE EL ABD","VALENTIN URSACHE","CHAD SLADE","AGUSTIN FIGUEROLA","BENJAMIN URDAPILLETA","DUG CODJO","HEMANI PAEA","PIERRE AGUILLON","SILVÈRE TIAN","LUCAS AMOROSINO","NEIL CLARK","RUAAN DU PREEZ","MIROSLAV NEMECEK","CHRISTOPHE ANDRÉ","SCOTT NEWLANDS","RÉGIS LESPINAS","ROIMATA HANSELL PUNE","ANTOINE TICHIT","GODERZI SHVELIDZE","GUILLAUME RIBES","PATRICK BARNARD","JULIEN LEDEVEDEC","ARNAUD MELA","SAÏD HIRÈCHE","DOMINIKO WAQANIBUROTU","PETRUS HAUMAN","DAMIEN NEVEU","RIAAN SWANEPOEL","MALAKAI RADIKEDIKE","ANDREW MA'ILEI","ARNAUD MIGNARDI","GUILLAUME NAMY","GAËTAN GERMAIN","FRANÇOIS DA ROS","KARLEN ASIESHVILI","SIMON PINET","KIERAN MURPHY","THOMAS SANCHOU","THOMAS LARANJEIRA","LAURENT FERRERES","ARANOS COETZEE",0,17,"Oyonnax"
"1564","2013-2014","J13","2013-11-30","Racing 92","Montpellier Hérault Rugby",17,12,"Stade Yves Du Manoir (Colombes)","DAVIT KHINCHAGISHVILI","DIMITRI SZARZEWSKI","LUC DUCALCON","KARIM GHEZAL","JUANDRÉ KRUGER","WENCESLAS LAURET","BERNARD LE ROUX","JONE QOVU","MAXIME MACHENAUD","BENJAMIN DAMBIELLE","JUAN IMHOFF","FABRICE ESTEBANEZ","HENRY CHAVANCY","BENJAMIN FALL","BENJAMIN LAPEYRE","VIRGILE LACOMBE","EDDY BEN AROUS","FRANÇOIS VAN DER MERWE","CAMILLE GÉRONDEAU","LAURENT MAGNAVAL","MARC ANDREU","ALEXANDRE DUMOULIN","WALTER DESMAISON","MISHA NARIASHVILI","CHARLES GÉLI","NICOLAS MAS","JIM HAMILTON","ROBINS TCHALÉ-WATCHOU","ALEXANDRE BIAS","MAMUKA GORGODZE","JOHN BEATTIE","JONATHAN PÉLISSIÉ","FRANÇOIS TRINH-DUC","ANTHONY TUITAVAKE","WYNAND OLIVIER","ROBERT EBERSOHN","RENE RANGER","PIERRE BÉRARD","MICKAËL IVALDI","MAXIMILIANO BUSTOS","THIBAUT PRIVAT","KÉLIAN GALLETIER","BENOÎT PAILLAUGUE","YOAN AUDRIN","BENOÎT SICART","NA'AMA LELEIMALEFAGA",0,5,"Racing 92"
"1565","2013-2014","J13","2013-11-30","FC Grenoble Rugby","Stade Toulousain",25,18,"Stade des Alpes","KENAN MUTAPCIC","ANTHONY HEGARTY","RICHARD CHOIRAT","HENDRIK ROODT","BEN HAND","JONATHAN BEST","PETER KIMLIN","FLORIAN FAURE","JAMES HART","BLAIR STEWART","JULIEN CAMINATI","GEOFFROY MESSINA","RIDA JAOUHER","BENJAMIN THIÉRY","FABIEN GENGENBACHER","ALBERTUS BUCKLE","VINCENT CAMPO","ANDREW FARLEY","FABIEN ALEXANDRE","HENRY VANDERGLAS","MATTHIEU NICOLAS","NICOLAS BÉZY","DAYNA EDWARDS","SCHALK FERREIRA","CHRISTOPHER TOLOFUA","CENSUS JOHNSTON","ROMAIN MILLO-CHLUSKI","IOSEFA TEKORI","YANNICK NYANGA","YACOUBA CAMARA","LOUIS PICAMOLES","SÉBASTIEN BÉZY","JEAN-PASCAL BARRAQUE","HOSEA GEAR","GAËL FICKOU","YANN DAVID","MAXIME MÉDARD","CLÉMENT POITRENAUD","CHILIBOY RALEPELLE","GURTHRÖ STEENKAMP","EDWIN MAKA","GILLIAN GALAN","JANO VERMAAK","TIMOCI MATANAVOU","FLORIAN FRITZ","YOHAN MONTÈS",0,7,"FC Grenoble Rugby"
"1566","2013-2014","J14","2013-12-20","Stade Français Paris","FC Grenoble Rugby",21,6,"Stade Jean Bouin","HENDRIK VAN DER MERWE","LAURENT SEMPÉRÉ","RABAH SLIMANI","ALEXANDRE FLANQUART","PASCAL PAPÉ","ANTOINE BURBAN","PIERRE RABADAN","SERGIO STADE FRANÇAIS PARISSE","JULIEN DUPUY","MORNÉ STEYN","DJIBRIL CAMARA","MEYER BOSMAN","GEOFFREY DOUMAYROU","JULIEN ARIAS","HUGO BONNEVAL","MICHAEL VAN VUUREN","SAKARIA TAULAFO","GERHARD MOSTERT","DAVID LYONS","JÉRÔME FILLOL","JULES PLISSON","PAUL WILLIAMS","DAVIT KUBRIASHVILI","ALBERTUS BUCKLE","ANTHONY HEGARTY","DAYNA EDWARDS","BEN HAND","HENDRIK ROODT","JONATHAN BEST","FABIEN ALEXANDRE","PETER KIMLIN","JAMES HART","BLAIR STEWART","JULIEN CAMINATI","GEOFFROY MESSINA","RIDA JAOUHER","ALIPATE RATINI","FABIEN GENGENBACHER","KENAN MUTAPCIC","VINCENT CAMPO","NAUDE BEUKES","FLORIAN FAURE","BENJAMIN THIÉRY","RUDI COETZEE","NICOLAS BÉZY","RICHARD CHOIRAT",0,15,"Stade Français Paris"
"1567","2013-2014","J14","2013-12-21","RC Toulon","Montpellier Hérault Rugby",43,10,"Stade Mayol","XAVIER CHIOCCI","JEAN-CHARLES ORIOLI","CARL HAYMAN","BAKKIES BOTHA","ALI WILLIAMS","JUAN SMITH","VIRGILE BRUNI","STEFFON ARMITAGE","SÉBASTIEN TILLOUS-BORDE","JONNY WILKINSON","DAVID SMITH","MATT GITEAU","MATHIEU BASTAREAUD","DREW MITCHELL","DELON ARMITAGE","BENJAMIN NOIROT","FLORIAN FRESIA","JOCELINO SUTA","PIERRICK GUNTHER","RUDI WULF","MAXIME MERMOZ","MICHAEL CLAASSENS","LEVAN CHILACHAVA","MISHA NARIASHVILI","MICKAËL IVALDI","NICOLAS MAS","JIM HAMILTON","SITALEKI TIMANI","PAUL GRANT","MAMUKA GORGODZE","JOHN BEATTIE","JONATHAN PÉLISSIÉ","FRANÇOIS TRINH-DUC","LUCAS DUPONT","ROBERT EBERSOHN","ANTHONY TUITAVAKE","RENE RANGER","PIERRE BÉRARD","THOMAS BIANCHIN","MAXIMILIANO BUSTOS","THIBAUT PRIVAT","ALEXANDRE BIAS","BENOÎT PAILLAUGUE","WYNAND OLIVIER","ANTHONY FLOCH","NA'AMA LELEIMALEFAGA",0,33,"RC Toulon"
"1568","2013-2014","J14","2013-12-21","CA Brive","Racing 92",9,9,"Stade Amédée Domenech","GODERZI SHVELIDZE","GUILLAUME RIBES","PATRICK BARNARD","JULIEN LEDEVEDEC","ARNAUD MELA","HUGUES BRIATTE","DOMINIKO WAQANIBUROTU","PETRUS HAUMAN","JEAN-BAPTISTE PÉJOINE","RIAAN SWANEPOEL","MALAKAI RADIKEDIKE","ANDREW MA'ILEI","ARNAUD MIGNARDI","GUILLAUME NAMY","GAËTAN GERMAIN","FRANÇOIS DA ROS","KARLEN ASIESHVILI","SIMON PINET","SAÏD HIRÈCHE","DAMIEN NEVEU","THOMAS LARANJEIRA","ALFIFELETI MAFI","ARANOS COETZEE","DAVIT KHINCHAGISHVILI","DIMITRI SZARZEWSKI","LUC DUCALCON","JUANDRÉ KRUGER","FRANÇOIS VAN DER MERWE","WENCESLAS LAURET","DAN LYDIATE","CAMILLE GÉRONDEAU","MAXIME MACHENAUD","JONATHAN WISNIEWSKI","BENJAMIN FALL","JAMIE ROBERTS","FABRICE ESTEBANEZ","ADRIEN PLANTÉ","BENJAMIN LAPEYRE","VIRGILE LACOMBE","EDDY BEN AROUS","FABRICE METZ","MASI MATADIGO","MIKE PHILLIPS","JOHNNY SEXTON","JUAN MARTIN HERNANDEZ","WALTER DESMAISON",0,0,"Null"
"1569","2013-2014","J14","2013-12-21","Castres Olympique","USA Perpignan",37,13,"Stade Pierre Antoine","YANNICK FORESTIER","MARC-ANTOINE RALLIER","ANTON PEIKRISHVILI","CHRISTOPHE SAMSON","RODRIGO CAPO ORTEGA","IBRAHIM DIARRA","JANNIE BORNMAN","ANTONIE CLAASSEN","JULIEN TOMAS","RÉMI TALÈS","MAX EVANS","SEREMAIA BAÏ","ROMAIN CABANNES","GEOFFREY PALIS","BRICE DULIN","SAIMONE TAUMOEPEAU","MIHAÏTA LAZAR","PIULA FAASALELE","PEDRIE WANNENBURG","RORY KOCKOTT","DANIEL KIRKPATRICK","MARCEL GARVEY","KARENA WIHONGI","ALISONA TAUMALOLO","GUILHEM GUIRADO","KISI PULU","SÉBASTIEN VAHAAMAHINA","LUKE CHARTERIS","ALASDAIR STROKOSCH","JEAN-PIERRE PEREZ","JUSTIN PURLL","NICOLAS DURAND","TOMMY ALLAN","JOFFREY MICHEL","WATISONI VOTU","LIFEIMI MAFI","SOFIANE GUITOUNE","JAMES HOOK","ROMAIN TERRAIN","SÉBASTIEN TAOFIFENUA","GUILLAUME VILACECA","DANIEL LEO","DEWALDT DUVENAGE","DAVID MARTY","TOMMASO BENVENUTI","PAULICA ION",0,24,"Castres Olympique"
